"name.cmpd" "paper.name" "synth.name" "IC50" "IC50.low" "IC50.up" "SMILES"
"mPP-0081" NA "TL4-66" 9994.36091537144 7804.42633294284 12396.6712114923 "O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CS3"
"mPP-0223" "11m" "NJ1-59" 10017.9563277026 7468.44811865084 13404.6258602911 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0093" NA "AKI XVII167" 10279.1308233369 8733.98184010308 12058.2603185376 "O=C(NCCNC1=C2C3=C(C=C(C2=O)C(F)(F)F)C=CC(C(C)C)=CC3=C1C)OCC4=CC=CC=C4"
"mPP-0034" "10i" "MTI-79" 12654.2262106196 10470.1703134492 15586.1033606058 "O=C(O)C1=NOC(C2=CC=C([N+]([O-])=O)C=C2)=C1"
"mPP-0088" NA "AKI XVII31" 12920.8448901013 9535.53287799955 16460.2509815449 "O=C(CCSC1C(C)=C2C=C(C=CC3=CC(C(F)(F)F)=C(O)C1=C23)C(C)C)O"
"mPP-0224" "11l" "NJ1-58" 13440.0335548569 11774.4810784167 15380.9490836578 "CC1=CC(C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0087" NA "AKIXVIII31" 13542.8735541669 10774.9332531597 17255.6712899917 "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC4=CC=CO4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0085" NA "IAT71" 14308.8593649234 12583.1073617529 16129.4636804531 "O=C1C(C(F)(F)F)=CC2=C3C1=C(NC(C)C)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0082" NA "TL4-63" 14606.150383948 13150.4465073225 16127.3713857309 "O=C(OC(C=C1)=C2C1=CC=C(C=C2)Cl)C3=CC=CN=C3"
"mPP-0187" NA "AKI A183" 14622.6112126295 12213.4895493887 17581.9124900711 "CC(C)C1=CC2=C(/C=C/C(O)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"IAT-145" NA "IAT-145" 14623.1410751143 11004.997440221 18394.068709414 NA
"mPP-0068" NA "Amb587" 17377.8720247324 15272.7986934732 19423.810677672 "O=C(OC1=CC=CC=C1Br)C2=NOC(C3=CC=C(C)C(C)=C3)=C2"
"mPP-0189" NA "TL2-68" 18629.7370465328 15986.9817358087 21669.3604567094 "O=C(C1=CC=CN1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0134" NA "RA-B55+71" 19178.7530556155 11550.5135353569 32425.9089145171 "CC(C)C1=CC2=C(C)C(NCC3=CC=C(C(O)=O)C=C3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"mPP-0098" NA "IAT-40" 21169.9306189248 14742.5946148966 27932.6202114803 "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC)C(C=O)=C3C=C(C(C)C)C=C2"
"mPP-0026" "10l" "MTI-55" 22213.488161092 16296.348665025 30637.0712348589 "CC1=CC(C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0095" NA "IAT-31-II" 23225.7792833027 17635.8556916793 29409.7902335404 "O=C1C(C(F)(F)F)=CC(C=CC(C(C)C)=C2)=C(C1=C3N4CCOCC4)C2=C3C"
"mPP-0026" "10l" "MTI-55" 23859.5875560003 20129.6332169487 27630.4692961922 "CC1=CC(C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0168" NA "IM-M60" 24124.7819736207 16459.1502029089 36231.8407594019 "O=C(C1=CC=C(Cl)C=C1)C[N+]2=CN(CC3=NC(COC4=CC(C(C)=O)=CC(OC[C-]5=[C+]C=CC(CN6C=[N+](CC(C7=CC=C(Cl)C=C7)=O)C8=C6C=CC=C8)=N5)=C4)=CC=C3)C9=C2C=CC=C9.[Br-].[Br-]"
"mPP-0188" NA "TL2-74" 24532.4140393762 14091.6307987744 77178.9274201213 "O=C(C1=CC=CO1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0086" NA "IAT-127" 28593.2564272369 16728.1064145643 45112.4181542357 "CC(OCC(C=C12)=C3C1=C(C=CC(C(C)C)=C3)CC(C(F)(F)F)(O)C2=O)=O"
"mPP-0045" NA "Amb891" 29113.2882315725 24572.1427040677 33667.7001300505 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"AKI-157" NA "AKI-157" 30590.0863520309 23446.130603087 38656.3882215885 NA
"mPP-0091" NA "AKIXVIII1" 30928.3755250616 23223.839918861 39925.3782677984 "O=C1C(C(F)(F)F)=CC2=C3C1=C(N)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0023" "10b" "MTI35" 35494.4935930168 25697.6409802101 50282.1200374343 "O=C(O)C1=NOC(C2=C(C(O)=O)C=CC=C2)=C1"
"mPP-0046" "19" "Amb898" 35620.2604132966 25507.9449389511 46865.188282589 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C4OCOC4=C3)=O)=C2)=C1)=O"
"mPP-0094" NA "TL4-18" 35839.1382075409 27576.6288434049 45240.2817416421 "O=C(O)/C=C/C1=CC(C2=CC=CC=C2)=C3C1=CC=C(CCC4=CC=CC=C4)C=C3"
"mPP-0025" NA "MTI-47" 38516.3884545333 19531.2705048043 101064.582511128 "O=C(O)C1=NOC(C2=C(C(O)=O)C=C([N+]([O-])=O)C=C2)=C1"
"mPP-0215" NA "Amb777" 39453.1805704576 37879.989505601 41121.4780796423 "CC(C)(C)C1=CC(C(NC2=NC=CS2)=O)=CC(C(C)(C)C)=C1"
"mPP-0028" "4" "MTI-61" 41078.4962082465 32743.169880244 51620.8607158149 "CC1=NC(C2=CC(C(O)=O)=NO2)=CS1"
"mPP-0001" "2" "C1" 42621.53170322 33511.5216683222 52755.9717092039 "OCCS(=O)(C1=CC=C2C(OC(N2)=O)=C1)=O"
"mPP-0180" NA "AKI-B1" 45575.8653063572 31721.4502141029 63058.9374536093 "CC(C)C1=CC2=C(C)C(NCC3=CC=C(CO)C=C3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"mPP-0223" "11m" "NJ1-59" 46378.3519661475 35783.6007202478 59521.7558899599 "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(OC3=C(Br)C=CC=C3)=O)=NO2)=C1"
"mPP-0221" NA "Amb535" 46605.8224064419 45308.8570051325 47849.8611587789 "CC(C)(C)C1=CC(C(NC2=CC=C(S(N)(=O)=O)C=C2)=O)=CC(C(C)(C)C)=C1"
"mPP-0207" "17" "Amb486" 47272.0092417863 41528.6892809869 53156.2017720263 "CC(C)(C)C1=CC(C(NC2=CC=CC=C2Br)=O)=CC(C(C)(C)C)=C1"
"mPP-0029" "10d" "MTI-69" 48764.9168115688 47830.0271855078 49627.9613676273 "O=C(O)C1=NOC(C2=CC=C(C(O)=O)C=C2)=C1"
"AKI-A195A" NA "AKI-A195A" 56543.4950426542 32914.8877978672 89781.633620284 NA
"mPP-0069" NA "Amb506" 56695.5440146713 49088.8503524877 64652.8159960334 "O=C(OC1=CC=CC=C1Br)C2=NOC(C3=CC=C4OCCOC4=C3)=C2"
"mPP-0044" NA "Amb884" 58045.7131266522 43654.2719474508 75164.7285774246 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C(Cl)=C3)=O)=C2)=C1)=O"
"mPP-0090" NA "AKI XVIII55" 59892.2102758255 36449.0139074041 101190.732775528 "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCCCN4C=CN=C4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0099" NA "RPI-191" 65885.2809791017 48149.1482886625 86639.6913793132 "CCOC(C1=NC(COC2=CC=C(OC)C=C2)=NC(Cl)=C1C)=O"
"IAT-93" NA "IAT-93" 68706.0357666543 34605.7617371578 127313.216448049 NA
"mPP-0007" "1" "C7" 70825.6215670069 50612.8593253676 95930.1880801724 "O=C(C1=NOC(C2=C(C=CC=C2)[N+]([O-])=O)=C1)O"
"mPP-0154" "9m" "NJ1-27" 72493.0405182895 63960.6134202559 82282.4702470869 "O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"AKI XVIII181" NA "AKI XVIII181" 75451.9204157171 28023.1627683671 221812.622688145 NA
"mPP-0206" "15" "Amb928" 80361.3982116262 66322.8294814644 96388.8320477906 "[O-][N+](C1=CC=C(C2=NC(C(O)=O)=CS2)C=C1)=O"
"mPP-0208" "16" "Amb838" 91433.2551599336 75970.83289959 109713.809123993 "CC(C)(C)C1=CC(C(NC2=NC(C=CC=C3)=C3S2)=O)=CC(C(C)(C)C)=C1"
"mPP-0217" "18" "Amb717" 100570.965466541 74732.8341492841 137133.561435704 "CC(C)(C)C1=CC(C(NC2=CC=C([N+]([O-])=O)C=C2)=O)=CC(C(C)(C)C)=C1"
"mPP-0053" NA "Amb224" 101457.118355645 89624.5972311013 114472.360401087 "OC(C1=NOC(C2=CC=C(F)C(F)=C2)=C1)=O"
"mPP-0129" NA "AKI XVIII195" 103621.558137575 56448.3147522734 191559.21571158 "CC(C)C1=CC2=C(C)C(NCCC3=CNC=N3)=C4C2=C(C=C(C4=O)C(F)(F)F)C=C1"
"mPP-0103" NA "RA-A111" 110341.745391601 33803.6422587027 380053.750373 "CC1=CC2=C(C(C(F)(F)F)=CC(C=C3)=C2C1=CC3=O)OCC(O)=O"
"mPP-0012" NA "C12" 111226.719853348 65986.2674943741 176463.543676116 "O=C(C1CCCN1S(=O)(C2=CC=C(N)C=C2)=O)O"
"mPP-0043" NA "Amb879" 121805.57584344 80210.7343428002 184099.509363985 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(Cl)C=C3F)=O)=C2)=C1)=O"
"mPP-0022" "3" "C22" 123050.648415796 43137.9854289163 348009.258152011 "CCOC(C1=CC=C(S(=O)(NC(SC2)=NC2=O)=O)C=C1)=O"
"mPP-0151" "12" "NJ1-32" 134865.433821912 85265.4168763729 220173.493143124 "OC(C1=NNC(C2=CC=CC=C2)=C1)=O"
"mPP-0096" NA "IAT-72" 139770.229783648 70770.3066073107 375583.626464306 "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC(OC)OC)C(C)=C3C=C(C(C)C)C=C2"
"AKI-A81" NA "AKI-A81" 148230.675249041 94307.8554684457 232181.309144381 NA
"mPP-0042" NA "Amb874" 180211.163983028 130394.721205996 244991.319700656 "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=CC=C(F)C=C3Cl)=O)=C2)=C1)=O"
"mPP-0209" NA "Amb736" 211323.479016071 170003.323108146 259646.318266126 "CC(C)(C)C1=CC(C(NCCCN2C=CN=C2)=O)=CC(C(C)(C)C)=C1"
"mPP-0036" NA "Amb244" 222872.016656226 149705.089182101 328571.114742228 "OC(C1=NOC(C2=CC=C(C(F)(F)F)C=C2)=C1)=O"
"mPP-0185" NA "AKI-A151" 227703.904698248 67651.0488974987 813233.353405143 "CC(C)C1=CC2=C(/C=C/C#N)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0074" NA "Amb377" 239701.898726961 138110.426762467 449093.555775226 "CC1=CC(NS(=O)(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2OC)=O)=NO1"
"mPP-0073" NA "Amb370" 280087.369486713 173123.822023307 452084.37342152 "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=C(C=C3)Cl)=O"
"mPP-0052" NA "Amb149" 461737.002932658 306647.586425413 692702.054854535 "OC(C1=NOC(C2=CC=C(S(=O)(C)=O)C=C2)=C1)=O"
"mPP-0219" NA "Amb355" 520005.626458092 363129.62900476 746421.039560051 "CC(C)(C)C1=CC(C(OCCN2CCOCC2)=O)=CC(C(C)(C)C)=C1"
"mPP-0101" NA "CB-21" 644220.283536862 389420.175200956 1063999.72610715 "COC(C=CC(C(NCCC1=CC(Br)=C(OCCCN(C)C)C(Br)=C1)=O)=C2)=C2Cl"
"NJ-35" NA "NJ-35" 1832379.40126485 808490.782389704 4234325.17953729 NA
"mPP-0056" NA "Amb519" NA NA NA "COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCOCC3)=O"
"mPP-0057" NA "Amb529" NA NA NA "COC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1S(=O)(N3CCCC3)=O"
"mPP-0065" NA "Amb032" NA NA NA "O=C(O)C1=NOC2=C1CC3=C2C=C(OC)C(OC)=C3"
"mPP-0035" NA "Amb221" NA NA NA "ClC1=CC=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0041" NA "Amb861" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCOCC3)=O)=C2)=C1)=O"
"mPP-0058" NA "Amb924" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CCC3)=O)=C2)=C1)=O"
"mPP-0059" NA "Amb930" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3CCCC3)=O)=C2)=C1)=O"
"mPP-0061" NA "Amb937" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4CC3)=O)=C2)=C1)=O"
"mPP-0062" NA "Amb950" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3CCCC3)=O)=C2)=C1)=O"
"mPP-0063" NA "Amb962" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(NC3=NC=CC=C3C)=O)=C2)=C1)=O"
"mPP-0064" NA "Amb890" NA NA NA "CCOC(C1=NOC(C2=CC=C(OC)C(S(=O)(N3C(C=CC=C4)=C4OCC3)=O)=C2)=C1)=O"
"mPP-0066" NA "Amb579" NA NA NA "BrC1=CC=CC(OC(C2=NOC(C3=CC=C(C)C(C)=C3)=C2)=O)=C1"
"mPP-0067" NA "Amb583" NA NA NA "BrC1=CC=C(OC(C2=NOC(C3=CC=C(C)C(C)=C3)=C2)=O)C=C1"
"mPP-0070" NA "Amb259" NA NA NA "BrC1=CC=C(OC(C2=NOC(C3=CC=C4OCCOC4=C3)=C2)=O)C=C1"
"mPP-0071" NA "Amb538" NA NA NA "BrC1=CC=CC(OC(C2=NOC(C3=CC=C4OCCOC4=C3)=C2)=O)=C1"
"mPP-0072" NA "Amb369" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(NC3=CC=CC(Cl)=C3)=O"
"mPP-0075" NA "Amb074" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1S(=O)(N(C3)C4=CC=CC=C4NC3=O)=O"
"mPP-0037" NA "Amb333" NA NA NA "OC(C1=NOC(C2=CC=C(C)C(C)=C2)=C1)=O"
"mPP-0038" NA "Amb713" NA NA NA "BrC1=CC=C(C2=CC(C(O)=O)=NO2)C=C1"
"mPP-0047" NA "Amb994" NA NA NA "CCOC(C1=NOC(C2=CSC(C3=CC=CC(Cl)=C3)=N2)=C1)=O"
"mPP-0048" NA "Amb998" NA NA NA "CCOC(C1=NOC(C2=CSC(CS(=O)(C3=CC=CC=N3)=O)=N2)=C1)=O"
"mPP-0049" NA "Amb004" NA NA NA "CCOC(C1=NOC(C2=CSC(NC3=CC=CC=C3)=N2)=C1)=O"
"mPP-0050" NA "Amb030" NA NA NA "CCOC(C1=NOC(C2=CSC(CS(=O)(C)=O)=N2)=C1)=O"
"mPP-0051" NA "Amb453" NA NA NA "OC(C1=NOC(C2=CC=C(C3=CC=CC=C3)C=C2)=C1)=O"
"mPP-0054" NA "Amb321" NA NA NA "OC(C1=NOC(C2=CC=CC3=C2C=CC=C3)=C1)=O"
"mPP-0055" NA "Amb322" NA NA NA "BrC1=CC=CC=C1C2=CC(C(O)=O)=NO2"
"mPP-0039" NA "Amb210" NA NA NA "OC(C1=NOC(C2=CC=C3OCCOC3=C2)=C1)=O"
"mPP-0040" NA "Amb649" NA NA NA "OC(C1=NOC(C2=CC=C3OCOC3=C2)=C1)=O"
"mPP-0105" NA "LKC098" NA NA NA "O=C(NC1=CC=CC(C2=NC3=CC=CC=C3N2)=C1)C4=CC=CC=C4"
"mPP-0109" NA "LKE101" NA NA NA "ClC1=CC(C(NCCCNC2=NC3=CC=CC=C3N2)=O)=CC(Cl)=C1"
"mPP-0110" NA "LKE21" NA NA NA "O=C(C1=NC(C2=CC=CC=C2)=CN1)NC3=CC=CC=C3"
"mPP-0107" NA "LKE61" NA NA NA "O=C(NC1=CC=CC=C1)C2=CC3=NON=C3C=C2"
"mPP-0102" NA "TL4-31" NA NA NA "O=C(CC(C=C1)=CC=C2C1=CC=C2)O"
"mPP-0100" NA "TL4-50.2" NA NA NA "CN(C(C(C(C=C1)=CC=C2C1=CC=C2)C(N(C)C)=O)=O)C"
"mPP-0108" NA "CB-26" NA NA NA "COC(C=CC(C(NCCC1=CC(Br)=C(OCCCN(C)C)C(Br)=C1)=O)=C2)=C2C"
"mPP-0106" NA "MV-I-25" NA NA NA "ClC1=CC(C(NCCC2=CC=C(OCCCN(C)C)C=C2)=O)=CC(Cl)=C1"
"mPP-0113" NA "PKII-52" NA NA NA "O=C(NCC1=CC=C(NC(N(C)C)=N2)C2=C1)C3=CC=CN3"
"mPP-0097" NA "TL4-32" NA NA NA "C1(CCC(C=C2)=CC=C3C2=C(CN4CCCCC4)C=C3)=CC=CC=C1"
"mPP-0115" NA "TL4-28" NA NA NA "N1(CC(C=C2)=CC=C3C2=CC=C3)CCCCC1"
"mPP-0104" NA "TL4-30.2" NA NA NA "CCOC(C(C(C=C1)=CC=C2C1=CC=C2)C(OCC)=O)=O"
"mPP-0114" NA "AKIXVI123" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCC4=CC=CN=C4)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0118" NA "AKIXIII85" NA NA NA "CC(C(C=CC(NC1=O)=C23)=CC2=C(C)C=C3C1=O)C"
"mPP-0119" NA "AKIXIV165" NA NA NA "CC1=CC2=C(C(OCC(O)=O)=CC(C=C3)=C2C1=CC3=O)C(F)(F)F"
"mPP-0112" NA "AKIXII33" NA NA NA "N#CC(C#N)=C(C=C1)C=C2C(C)=CC3=C(C(F)(F)F)C(OC)=CC1=C23"
"mPP-0121" NA "RPI-149" NA NA NA "CCOC(C1=C(C(O)=NC(C(OCC)OCC)=N1)C)=O"
"mPP-0122" NA "RPI-155" NA NA NA "FC(F)(C1=CC=CC(COC(C2=CC(C(O)=O)=CC(COC3CCCCO3)=C2)=O)=C1)F"
"mPP-0116" NA "RPI-175" NA NA NA "CCOC(C1=C(C(O)=NC(COC2=CC=C(OC)C=C2)=N1)C)=O"
"mPP-0111" NA "RPII-015" NA NA NA "O=C(C1=NC(COC2=CC=C(OC)C=C2)=NC(O)=C1C)O"
"mPP-0080" NA "AKIXVIII7" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NC)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0076" NA "IAT-39-II" NA NA NA "O=C1C(C(F)(F)F)=CC2=C3C1=C(NCCO)C(C)=C3C=C(C(C)C)C=C2"
"mPP-0013" NA "C13" NA NA NA "O=C(O)C1=CC=C2C(S(=O)(NC2=O)=O)=C1"
"mPP-0015" NA "C15" NA NA NA "O=C1CS(=O)(C2=CC=CC=C21)=O"
"mPP-0016" NA "C16" NA NA NA "O=C(CNS(=O)(C1=CC=C(N)C=C1)=O)O"
"mPP-0017" NA "C17" NA NA NA "O=C(CN(S(=O)(C1=CC=CC=C12)=O)C2=O)O"
"mPP-0018" NA "C18" NA NA NA "O=C(C(NS(=O)(C1=CC=C(NC(C)=O)C=C1)=O)CO)O"
"mPP-0019" NA "C19" NA NA NA "O=C(CN1N=NN=C1N)O"
"mPP-0020" NA "C20" NA NA NA "N#CC1=CC=C(NS(=O)(C)=O)C=C1"
"mPP-0006" NA "C6" NA NA NA "OB(C1=C(C=CC(N)=C1)CO)O"
"mPP-0008" NA "C8" NA NA NA "O=S(NC1=NCCS1)(C2=CC=C(N)C=C2)=O"
"mPP-0009" NA "C9" NA NA NA "OB1OCC2=CC=C(C(O)=O)C=C21"
"mPP-0010" NA "C10" NA NA NA "O=C(CS(=O)(C1=CC=CC=C1[N+]([O-])=O)=O)O"
"mPP-0011" NA "C11" NA NA NA "CC1(C(N(C2=CC=C(S(=O)(Cl)=O)C=C2)S(=O)(C1)=O)=O)C"
"mPP-0030" "10c" "MTI-71" NA NA NA "O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
"mPP-0031" "10m" "NJ1-33" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "10m" "NJ1-39" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0031" "10m" "NJ1-39" NA NA NA "CC(C)(C)C1=CC(C(C)(C)C)=CC(C2=CC(C(O)=O)=NO2)=C1"
"mPP-0032" NA "MTI-75" NA NA NA "OC(C=C1)=CC=C1C2=CC(C(O)=O)=NO2"
"mPP-0033" NA "MTI-77" NA NA NA "OC1=CC(C2=CC(C(O)=O)=NO2)=CC=C1"
"mPP-0252" NA "MTI-39" NA NA NA "CCOC(C1=NOC(B2OC(CN(C)CC(O2)=O)=O)=C1)=O"
"mPP-0024" "10e" "MTI-43" NA NA NA "O=C(O)C1=NOC(C2=C(OC)C=CC=C2)=C1"
"NJ-35" NA "NJ-35" NA NA NA NA
"NJ-35" NA "NJ-35" NA NA NA NA
"mPP-0027" "5" "MTI-59" NA NA NA "CC1=C(C=NN1C)C2=CC(C(O)=O)=NO2"
"mPP-0130" NA "AKI-A17" NA NA NA "CC1=C2C(C3=C1NCCCO)=C(C=C(C(F)(F)F)C3=O)C=CC(C(C)C)=C2"
"mPP-0131" NA "AKI-A41" NA NA NA "CC(C)C1=CC2=C(/C=N/CCC(OCC)=O)C(N)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0132" NA "AKI-A55" NA NA NA "CC(C)C1=CC2=C(C=O)C(NCCO)=C3C2=C(C=C(C(F)(F)F)C3=O)C=C1"
"mPP-0133" NA "RA-B87+89" NA NA NA "CC(C)C1=CC2=C(C)C(NCCC3=CNC4=C3C=CC=C4)=C5C2=C(C=C(C(F)(F)F)C5=O)C=C1"
"mPP-0135" NA "RA-B51+57" NA NA NA "CC(C)C1=CC2=C(C)C(NCCCN3CCOCC3)=C4C2=C(C=C(C(F)(F)F)C4=O)C=C1"
"AKI XVIII129" NA "AKI XVIII129" NA NA NA NA
"mPP-0138" NA "RA-B23+91" NA NA NA "O=C1C=CC2=C(C(C=C3C)=C(C(F)(F)F)C(OCC4=NC(C=CC=C5)=C5N4)=C2)C3=C1"
"mPP-0030" "10c" "DAP-06" NA NA NA "O=C(O)C1=NOC(C2=CC=CC(C(O)=O)=C2)=C1"
"mPP-0159" NA "DAP-10a" NA NA NA "COC1=CC=C(C2=CC(C(OC)=O)=NO2)C=C1"
"mPP-0160" "9g" "DAP-10b" NA NA NA "COC1=CC=C(C2=CC(C(OCC)=O)=NO2)C=C1"
"mPP-0161" "10g" "DAP-13" NA NA NA "OC(C1=NOC(C2=CC=C(OC)C=C2)=C1)=O"
"mPP-0162" "9f" "DAP-16" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC(OC)=C2)=C1"
"mPP-0163" "9c" "DAP-02" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C(OC)=O)=CC=C2)=C1"
"mPP-0164" "9b" "DAP-14" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC=C2C(OC)=O)=C1"
"mPP-0146" "9h" "NJ1-4" NA NA NA "O=C(OCC)C1=NOC(C2=CC=C(C#N)C=C2)=C1"
"mPP-0147" "10h" "NJ1-31" NA NA NA "OC(C1=NOC(C2=CC=C(C#N)C=C2)=C1)=O"
"mPP-0148" "9a" "NJ1-19" NA NA NA "O=C(OCC)C1=NOC(C2=CC=CC=C2)=C1"
"mPP-0149" "10a" "NJ1-20" NA NA NA "OC(C1=NOC(C2=CC=CC=C2)=C1)=O"
"mPP-0150" NA "NJ1-21" NA NA NA "O=C(OCC)C1=NNC(C2=CC=CC=C2)=C1"
"mPP-0152" "9o" "NJ1-24" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C3=CC(C(OCC)=O)=NO3)=CC=C2)=C1"
"mPP-0153" "10o" "NJ1-26" NA NA NA "OC(C1=NOC(C2=CC(C3=CC(C(O)=O)=NO3)=CC=C2)=C1)=O"
"mPP-0154" "9m" "NJ1-27" NA NA NA "O=C(OCC)C1=NOC(C2=CC(C(C)(C)C)=CC(C(C)(C)C)=C2)=C1"
"AIM A085CA" NA "AIM A085CA" NA NA NA NA
"mPP-0190" NA "TL2-58" NA NA NA "O=C(C1=CC=CC=C1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0191" NA "TL2-41" NA NA NA "O=C(C1=CC=CS1)NCC2=CC=C3C(SC(N)=N3)=C2"
"mPP-0177" NA "AKI-A133" NA NA NA "CC(C)(OC)C1=CC2=C(C)C(NCCO)=C3C2=C(C=C(C3=O)C(F)(F)F)C=C1"
